COMUNA,TIPO_DELITO,DIA_SEMANA,BLOQUE_HORARIO,NIVEL_RIESGO,CONFIANZA_PREDICCION,PROBABILIDAD_ALTO,PROBABILIDAD_MEDIO,PROBABILIDAD_BAJO,DELITOS_HISTORICOS
Comuna Cabecera del Llano,DELITOS CONTRA LA SEGURIDAD PUBLICA,jueves,MAÑANA,ALTO,0.4942159321981283,0.4942159321981283,0.36799078790403106,0.1377932798978404,0.0
Comuna Cabecera del Llano,DELITOS CONTRA LA SEGURIDAD PUBLICA,jueves,TARDE,ALTO,0.4982028441442297,0.4982028441442297,0.3309161557309522,0.1708810001248181,0.0
Comuna Cabecera del Llano,DELITOS CONTRA LA SEGURIDAD PUBLICA,jueves,NOCHE,BAJO,0.7278056972590484,0.011758358475066453,0.26043594426588507,0.7278056972590484,1.0
Comuna Cabecera del Llano,DELITOS CONTRA LA SEGURIDAD PUBLICA,viernes,MADRUGADA,ALTO,0.404144450830036,0.404144450830036,0.3700708509989213,0.22578469817104282,0.0
Comuna Cabecera del Llano,DELITOS CONTRA LA SEGURIDAD PUBLICA,viernes,MAÑANA,ALTO,0.4944137278758698,0.4944137278758698,0.4021625325465491,0.10342373957758098,0.0
Comuna Cabecera del Llano,DELITOS CONTRA LA SEGURIDAD PUBLICA,viernes,TARDE,ALTO,0.5074475829053791,0.5074475829053791,0.3622014203167226,0.13035099677789824,0.0
Comuna Cabecera del Llano,DELITOS CONTRA LA SEGURIDAD PUBLICA,viernes,NOCHE,ALTO,0.5054999828877894,0.5054999828877894,0.3573872199534879,0.1371127971587226,0.0
Comuna Cabecera del Llano,DELITOS CONTRA LA SEGURIDAD PUBLICA,sábado,MADRUGADA,ALTO,0.3981915121666805,0.3981915121666805,0.3371169360691698,0.26469155176414977,0.0
Comuna Cabecera del Llano,DELITOS CONTRA LA SEGURIDAD PUBLICA,sábado,MAÑANA,ALTO,0.49808600046733853,0.49808600046733853,0.3647717409091188,0.13714225862354254,0.0
Comuna Cabecera del Llano,DELITOS CONTRA LA SEGURIDAD PUBLICA,sábado,TARDE,ALTO,0.5060674797016087,0.5060674797016087,0.33741474576046293,0.15651777453792834,0.0
Comuna Cabecera del Llano,DELITOS CONTRA LA SEGURIDAD PUBLICA,sábado,NOCHE,ALTO,0.5097233801044474,0.5097233801044474,0.33070218398269696,0.15957443591285547,0.0
Comuna Cabecera del Llano,DELITOS CONTRA LA SEGURIDAD PUBLICA,domingo,MADRUGADA,ALTO,0.40582988536636927,0.40582988536636927,0.3089724559960125,0.2851976586376183,0.0
Comuna Cabecera del Llano,DELITOS CONTRA LA SEGURIDAD PUBLICA,domingo,MAÑANA,ALTO,0.47967228253317495,0.47967228253317495,0.3474778552147436,0.1728498622520814,0.0
Comuna Cabecera del Llano,DELITOS CONTRA LA SEGURIDAD PUBLICA,domingo,TARDE,ALTO,0.4857306937277246,0.4857306937277246,0.31766036620077814,0.19660894007149715,0.0
Comuna Cabecera del Llano,DELITOS CONTRA LA SEGURIDAD PUBLICA,domingo,NOCHE,ALTO,0.4961644787951743,0.4961644787951743,0.3095280667174698,0.19430745448735587,0.0
Comuna Cabecera del Llano,DELITOS SEXUALES,lunes,MADRUGADA,MEDIO,0.6317304438891298,0.0066817031061210865,0.6317304438891298,0.3615878530047493,7.0
Comuna Cabecera del Llano,DELITOS SEXUALES,lunes,MAÑANA,MEDIO,0.7511573989578489,0.08477499072328168,0.7511573989578489,0.16406761031886938,8.0
Comuna Cabecera del Llano,DELITOS SEXUALES,lunes,TARDE,MEDIO,0.54942439273664,0.060452602522685764,0.54942439273664,0.39012300474067435,6.0
Comuna Cabecera del Llano,DELITOS SEXUALES,lunes,NOCHE,MEDIO,0.49324471845766615,0.019308419451147182,0.49324471845766615,0.4874468620911867,5.0
Comuna Cabecera del Llano,DELITOS SEXUALES,martes,MADRUGADA,BAJO,0.552285193190339,0.008369565996691867,0.43934524081296905,0.552285193190339,2.0
